Ticker,Date,Tweetcount,Indicoscore,Textblobscore,Price
NKE,12/10/15,64,0.435946,0.036771,128.64
PFE,11/5/15,64,0.500305,0.095001,34.15
NKE,11/27/15,64,0.451416,0.022005,134.33
MCD,11/13/15,64,0.429056,0.037875,109.97
MCD,12/10/15,63,0.552908,0.04627,117.2
CVX,12/11/15,63,0.473121,0.077332,86.44
NKE,11/19/15,63,0.61925,0.019355,125.78
IBM,12/11/15,62,0.501437,0.016457,134.57
GE,12/11/15,61,0.406955,0.149367,30.26
BA,11/4/15,61,0.501639,0.027422,148.19
MCD,11/19/15,60,0.482255,0.046389,113.3
CVX,12/9/15,59,0.487145,0.03652,87.6
IBM,11/13/15,59,0.505913,0.089011,131.75
AAPL,11/10/15,58,0.165337,-0.005035,116.77
DIS,12/3/15,58,0.418062,0.034939,111.89
MRK,11/25/15,58,0.486684,0.02033,53.72
CSCO,11/27/15,58,0.524888,0.058294,27.32
V,11/25/15,57,0.511769,-0.00443,79.56
WMT,11/5/15,56,0.548526,0.144432,58.61
INTC,11/27/15,55,0.517467,0.136642,34.46
CAT,12/10/15,55,0.463669,-0.00497,66.38
DD,11/13/15,55,0.462059,0.053939,67.05
PFE,11/27/15,55,0.618024,0.129177,32.79
MCD,12/11/15,54,0.504198,0.023413,116.08
WMT,12/10/15,54,0.493828,0.043934,59.56
INTC,12/11/15,53,0.503762,0.073812,34.27
CAT,12/9/15,52,0.510927,0.034738,65.91
GS,12/4/15,52,0.53763,0.072916,189.99
JNJ,12/9/15,52,0.462279,0.016589,102.15
PFE,12/11/15,52,0.540967,0.024908,32.06
PG,11/25/15,51,0.420097,0.022582,75.9
GS,12/10/15,51,0.626132,0.041264,182.11
GS,12/1/15,51,0.490492,0.00049,193.07
MSFT,12/4/15,51,0.558328,0.041454,55.91
HD,12/4/15,50,0.564268,0.026,134.53
JNJ,12/11/15,50,0.46247,0.1138,101.68
XOM,12/10/15,50,0.63231,0.0825,75.69
VZ,12/3/15,50,0.499218,0.134,44.56
GE,12/10/15,49,0.574688,0.018268,30.65
DIS,11/19/15,49,0.416203,0.069216,118.71
GS,12/2/15,49,0.556975,0.106122,190.26
MRK,11/5/15,49,0.308419,-0.008071,55.05
WMT,11/4/15,49,0.530592,0.084647,58.37
XOM,12/3/15,49,0.560723,-0.043679,78.41
MSFT,12/2/15,49,0.514155,0.090202,55.21
V,12/11/15,48,0.538185,0.043507,76.11
DD,11/6/15,48,0.458725,0.044577,66.11
WMT,12/11/15,48,0.503911,0.072336,59.36
PFE,11/4/15,48,0.550566,0.059333,34.14
VZ,12/8/15,47,0.562019,0.073859,45.7
IBM,11/27/15,47,0.537355,0.029018,138.46
JPM,11/25/15,47,0.378743,0.170877,66.86
NKE,12/4/15,47,0.439492,0.011306,132.33
IBM,12/4/15,47,0.454724,0.026759,140.43
MCD,12/9/15,46,0.584983,0.036781,116.58
NKE,12/9/15,46,0.603316,0.06611,128.84
XOM,11/19/15,46,0.643018,0.061787,80.3
NKE,12/3/15,46,0.469312,0.060326,129.12
HD,11/27/15,46,0.635663,0.023219,134.74
GE,11/19/15,46,0.461548,0.031986,30.27
WMT,12/3/15,45,0.471509,0.053327,59.04
CVX,11/25/15,45,0.544923,-0.008889,90.87
V,11/27/15,44,0.531228,0.034688,79.84
VZ,12/10/15,44,0.600523,0.021023,45.32
NKE,12/11/15,44,0.523131,0.038709,126.29
PFE,12/3/15,44,0.417776,0.016705,32.39
MRK,11/4/15,44,0.530383,0.151541,55.53
MMM,11/6/15,44,0.455647,0.120274,159.26
